term_en,term_zh,type,source,confidence,status,decided_at,notes
Later,稍后,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法稍后,按规则4采用 | 规则直译(普通词) 待G4审核"
Grail,杯,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|grail
House,居屋,location,user,1.0,approved,2026-08-12,用户裁决 2026-08-12:独立大写 House/the House 统一译居屋(漫宿别称语境亦用居屋);Hush House→噤声居屋(独立词条);House of the Sun→太阳居屋;普通小写 house/a House→房屋/宅邸
Mr Hobson,霍布森先生,character,self,0.7,pending,2026-08-11,Hobson→霍布森(pending)+尊称先生(全译原则)
Catalyst,触媒,concept,user,1.0,approved,2026-08-12,用户定译 2026-08-12:Catalyst 术语化→触媒
Sometimes,有时,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法有时,按规则4采用 | 规则直译(普通词) 待G4审核"
Dead,亡者,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法亡者 vs 原dead,按规则2采用(批8同) | 规则直译(普通词) 待G4审核"
Names,具名者,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法具名者 vs 原names,按规则2采用(CS 官方先例(批8曾作尊名)) | 规则直译(普通词) 待G4审核"
Edge,刃,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|edge
Gleam,烁,concept,user,1.0,approved,2026-08-12,用户定译 2026-08-12:gleam 术语化→烁
Principle,准则,concept,manual_pkg,0.95,approved,2026-08-11,L2 启…的准则;cs-aligned 准则
Until,直到,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法直到,按规则4采用 | 规则直译(普通词) 待G4审核"
France,法国,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法法国 vs 原france,按规则4采用 | 规则直译(普通词) 待G4审核"
Footnotes,脚注,other,manual_pkg,0.95,approved,2026-08-11,L2 脚注(游戏 UI 概念)
English,英语,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法英语 vs 原english,按规则4采用 | 规则直译(普通词) 待G4审核"
Incorporates,集团,concept,manual_pkg,0.9,approved,2026-08-11,L2 [[集团]]愿为对抗伊加利亚主义
Influences,influences,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Move,移动,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法移动 vs 原move,按规则4采用 | 规则直译(普通词) 待G4审核"
And I,而我,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法而我,按规则4采用 | 规则未覆盖,待人工裁决"
Give,给,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法给,按规则4采用 | 规则直译(普通词) 待G4审核"
Lie,躺,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法躺,按规则4采用([说谎] 语境另译) | 规则直译(普通词) 待G4审核"
Long,长生者,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|guardian_long
Passions,passions,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Cross,介壳种,concept,manual_pkg,0.95,approved,2026-08-11,L2 Cross=介壳种;cs-aligned Carapace Cross=介壳种;Cross-change=介壳蜕变
Wood,木材,other,site,0.95,approved,2026-08-11,site bilingual label[1] (verified)
Knock,启,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|knock
Wake,醒时,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法醒时 vs 原wake,按规则2采用(与漫宿对立的醒时世界(批9曾作醒世)) | 规则直译(普通词) 待G4审核"
Corona,冕,concept,user,1.0,approved,2026-08-12,用户定译 2026-08-12:Corona 术语化→冕
Janvier,janvier,other,site-miss,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Time,时间,other,cs-aligned,1.0,approved,2026-08-11,cs:verbs|time.exile
Sylvain Huissier,西尔万·韦西耶,character,self,0.7,approved,2026-08-12,"用户裁决 2026-08-12:Huissier→韦西耶(paratranz人工译法),全名西尔万·韦西耶"
Once,一次,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法一次,按规则4采用 | 规则直译(普通词) 待G4审核"
Better,better,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Any,任何,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法任何,按规则4采用 | 规则直译(普通词) 待G4审核"
Watch,注视,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法注视,按规则4采用 | 规则直译(普通词) 待G4审核"
Memories,种种回忆,other,cs-aligned,1.0,approved,2026-08-11,cs:decks|ghoul.memory
Try,try,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Since,自从,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法自从,按规则4采用 | 规则直译(普通词) 待G4审核"
Tell,告诉,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法告诉,按规则4采用 | 规则直译(普通词) 待G4审核"
Shrug,耸肩,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法耸肩,按规则4采用 | 规则直译(普通词) 待G4审核"
Take,取,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法取,按规则4采用 | 规则直译(普通词) 待G4审核"
Someone,某人,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法某人,按规则4采用 | 规则直译(普通词) 待G4审核"
Potential,天赋,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|potential
Keeps,keeps,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Please,please,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Berlin,柏林,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法柏林 vs 原berlin,按规则3采用(真实地名) | 规则直译(普通词) 待G4审核"
Coseley,coseley,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Heart,心,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|heart
Rose,引,other,site,0.95,approved,2026-08-11,site bilingual label[1] (verified)
Troubles,烦扰,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法烦扰,按规则4采用 | 规则直译(普通词) 待G4审核"
Labrikon,融升剂,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法融升剂 vs 原labrikon,按规则2采用(自造词(批5曾作拉布里孔)) | 规则直译(普通词) 待G4审核"
Really,真的,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法真的,按规则4采用 | 规则直译(普通词) 待G4审核"
Annabelle,安娜贝尔,other,site-miss,0.7,pending,2026-08-11,音译(通行音译) 待G4审核
Eternity,永恒,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法永恒 vs 原eternity,按规则2采用(批8同) | 规则直译(普通词) 待G4审核"
Aviform,鸟形,concept,manual_pkg,0.9,approved,2026-08-11,L2 鸟形(鸟形司辰的恶作剧)
As I,当我,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法当我,按规则4采用 | 规则未覆盖,待人工裁决"
Horomachistry,司辰学,art,user,1.0,approved,2026-08-11,伟大之术定译(BoH 灰机 wiki+人工译者)
Consider,研究,other,site,0.95,approved,2026-08-11,site bilingual label[1] (verified)
Stars,群星,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法群星 vs 原stars,按规则4采用(批8同) | 规则直译(普通词) 待G4审核"
Monsieur,先生,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法先生 vs 原monsieur,按规则4采用 | 规则直译(普通词) 待G4审核"
Possessed,possessed,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Vive,万岁,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法万岁 vs 原vive,按规则4采用 | 规则直译(普通词) 待G4审核"
Most,大多数,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法大多数,按规则4采用 | 规则直译(普通词) 待G4审核"
Sorry,sorry,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Coca-Cola,,other,site-miss,0.3,pending,2026-08-11,"规则未覆盖,待人工裁决"
Another,另一个,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法另一个,按规则4采用 | 规则直译(普通词) 待G4审核"
Evolve,演化,other,self,1.0,approved,2026-08-12,普通词常规译法(2026-08-12)
Sleep,睡眠,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法睡眠 vs 原sleep,按规则4采用 | 规则直译(普通词) 待G4审核"
Sylvain,西尔万,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法西尔万 vs 原sylvain,按规则3采用 | 规则直译(普通词) 待G4审核"
Serena,serena,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Success,成功,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|success
Failure,失败,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|failure
IMPORTANT,注意,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法注意 vs 原important,按规则4采用 | 规则直译(普通词) 待G4审核"
Travel,旅行,other,cs-aligned,1.0,approved,2026-08-11,cs:verbs|travel
Cambray,康布雷,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法康布雷 vs 原cambray,按规则3采用(真实地名(康布雷战役)) | 规则直译(普通词) 待G4审核"
Worldly Skill,世俗技艺,concept,manual_pkg,0.6,pending,2026-08-11,L2 未译;上下文=对话/社交日常技能;建议世俗技艺 待G4
West,西方,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法西方,按规则4采用 | 规则直译(普通词) 待G4审核"
French State,法兰西邦国,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:按规则3定译法兰西邦国(真实政权通行译名) | 规则未覆盖,待人工裁决"
Change,改变,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法改变,按规则4采用 | 规则直译(普通词) 待G4审核"
Bosk,丛林学,art,user,1.0,approved,2026-08-11,"伟大之术定译(BoH 灰机 wiki+人工译者),覆盖 cs-aligned 旧值树丛(用户 2026-08-11 指定)"
Heaven,天界,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法天界 vs 原heaven,按规则4采用 | 规则直译(普通词) 待G4审核"
French,法兰西,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法法兰西 vs 原french,按规则4采用(French State/Republic 语境) | 规则直译(普通词) 待G4审核"
Ithastry,盗火术,art,user,1.0,approved,2026-08-11,伟大之术定译(BoH 灰机 wiki+人工译者)
Every,每,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法每,按规则4采用 | 规则直译(普通词) 待G4审核"
Hushery,静默术,art,user,1.0,approved,2026-08-11,"伟大之术定译(BoH 灰机 wiki+人工译者,2026-08-11 用户指定搜索核证)"
Father Jaume,豪梅神父,character,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法豪梅神父 vs 原若梅神父,按规则3采用 | Jaume→若梅(pending)+称谓神父"
Turn,转身,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法转身,按规则4采用 | 规则直译(普通词) 待G4审核"
Nyctodromy,夜游术,art,user,1.0,approved,2026-08-11,伟大之术定译(BoH 灰机 wiki+人工译者)
Arts Unconsidered,未识技艺,art,user,1.0,approved,2026-08-12,用户改译 2026-08-12:未拾技艺→未识技艺(BoH wiki 旧译未拾技艺);游戏文本指 Bosk/Birdsong/Preservation 一组
Almost,almost,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Thanks,thanks,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Through,穿过,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法穿过,按规则4采用 | 规则直译(普通词) 待G4审核"
Picasso,毕加索,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法毕加索 vs 原picasso,按规则3采用(真实画家通行译名) | 规则直译(普通词) 待G4审核"
Ubu,乌布,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法乌布 vs 原ubu,按规则3采用 | 规则直译(普通词) 待G4审核"
Night,夜晚,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|op.night
Lift,抬起,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法抬起,按规则4采用(振作语境另译) | 规则直译(普通词) 待G4审核"
Twinges,刺痛,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法刺痛 vs 原twinges,按规则4采用 | 规则直译(普通词) 待G4审核"
Glory,辉光,other,cs-aligned,1.0,approved,2026-08-11,cs:endings|visionsending
Much,许多,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法许多,按规则4采用 | 规则直译(普通词) 待G4审核"
Our,our,other,site-hit,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Icarian,伊加利亚,concept,manual_pkg,0.9,approved,2026-08-11,L2 反[[伊加利亚]]倾向
Wither,凋零,concept,user,1.0,approved,2026-08-12,"用户定译 2026-08-12:Wither→凋零(相性Aspect,与so|Aspect 28610 已有译法一致);Task R未识别词已裁定"
Icarians,icarians,other,site-miss,0.5,pending,2026-08-11,规则直译(普通词) 待G4审核
Suppression Bureau,防剿局,organization,cs-official,1.0,approved,2026-08-11,L2 候选采纳:CS 官方定译(防剿局)
Kerisham,凯尔伊苏姆,other,cs-aligned,1.0,approved,2026-08-11,cs:elements|vaultshiresdefault
Watchman,守夜人,character,cs-aligned,0.95,approved,2026-08-11,L2 守夜人之树/守夜人;cs-aligned 名为守夜人的司辰;别名 The Door in the Eye(英文wiki I号)
Mlle Lagasse,拉加斯小姐,character,self,0.7,pending,2026-08-11,Nina Lagasse→尼娜·拉加斯(approved)+Mlle→小姐
Reinhardt,莱因哈特,character,self,0.8,pending,2026-08-12,"音译(德语姓氏,通行译名)待G4"
Plan,计划,other,self,1.0,approved,2026-08-12,"paratranz复核2026-08-12:普通词常规译法计划,按规则4采用 | 规则直译(普通词) 待G4审核"
Cubbies,格口,other,paratranz,0.9,approved,2026-08-12,"paratranz复核2026-08-12:人工译法格口 vs 原cubbies,按规则4采用(UI 网格格口(paratranz保留原文)) | 规则直译(普通词) 待G4审核"
