entry_id,source_text(原文),translation_zh(译文)
dialogue|10|26|Dialogue Text,[The light is compellingly bright. It's difficult to look away. It would be much easier to step closer.],"[那光强烈得摄人心魄。很难移开目光。迈步靠近,要容易得多。]"
dialogue|10|27|Dialogue Text,[Murmur a protective charm.],[低声念出一道护身咒。]
dialogue|10|28|Dialogue Text,[Remain in place through force of will - even if it exhausts me.],[凭意志力留在原地——哪怕耗尽气力。]
dialogue|10|2|Dialogue Text,[Approach.],[走上前。]
dialogue|10|30|Dialogue Text,"[The light doesn't dim, but it seems more remote, and the voice a little flatter. The pressure to approach eases so abruptly that I sway backwards.]","[光没有变暗,却似乎更加遥远,声音也更平了些。那股催促靠近的压力骤然消解,我身形一晃,向后仰去。]"
dialogue|10|31|Dialogue Text,"[The charm falters on my lips, and I find I've taken a step closer.]","[咒语在唇边一顿,我发觉自己已经迈近了一步。]"
dialogue|10|34|Dialogue Text,"Well, have it your own way, you thin scrap of flesh. Stay there in your shadowy muck. We can speak at this distance, like travellers by night. But tell me then, first, what I am.","好吧,随你的便,你这片单薄的肉。就待在你那阴翳的烂泥里吧。隔着这个距离,我们照样可以交谈,就像夜行的旅人。那么,先告诉我,我是什么。"
dialogue|10|37|Dialogue Text,"...and you're trapped in a scrine, here in the Wake, because someone back in the Mansus has destroyed your scrineway. No fulgent would risk staying this long in a scrine of something as impermanent as ice.","……而你被困在醒界的一座圣龛里,因为漫宿之中,有人毁掉了你的龛道。没有哪个辉耀者,会冒险在一座以冰这种无常之物制成的圣龛里,逗留这么久。"
dialogue|10|38|Dialogue Text,...manifesting here in a scrine...of ice?,……在这座圣龛里显形……一座冰做的圣龛?
dialogue|10|39|Dialogue Text,"[A human-height block of something brilliantly luminous, almost hidden beneath a heavy velvet drape. Damp spots on the drape, drops of water on the floor, a hazy chill in the air of the room, all suggest that the 'something' is ice.]","[一块一人高的东西,焕发着璀璨的光芒,几乎整个藏在一块厚重的天鹅绒帷幕之下。帷幕上的湿痕、地板上的水珠、房间里弥漫的寒意,都表明那「东西」是冰。]"
dialogue|10|3|Dialogue Text,[Keep my distance.],[保持距离。]
dialogue|10|40|Dialogue Text,"I'm not going to talk to you like this, Sinombre. It's the twentieth century.","我不会这样跟你说话,西诺姆布尔。如今是二十世纪。"
dialogue|10|41|Dialogue Text,The aristocracy of the old Sun; a power of the Mansus gracing the Wake. [Incline your head.],旧日太阳的贵族;一位驾临醒界的漫宿权柄。[微微颔首。]
dialogue|10|42|Dialogue Text,"When you've learnt all that I have, my petitioner-thing, perspective will grant you new eyes.","等你学尽了我所学的一切,我的请愿之物,眼界自会赐你新的眼睛。"
dialogue|10|43|Dialogue Text,"Sinombre is listening. Tell her what you seek. If it touches her whims, she may help.","西诺姆布尔在聆听。告诉她,你求的是什么。若合她的心意,她或许会帮你。"
dialogue|10|44|Dialogue Text,All right; I'll indulge you.,好吧;我便依你。
dialogue|10|45|Dialogue Text,"It is harder, it's true, since the fall of the Sun. We are none of us all that we were.","确实,自太阳陨落以来,行事愈发艰难。我们之中,谁也不复昔日的自己。"
dialogue|10|46|Dialogue Text,"You are not quite a scholar, but not quite a boor. It will do, for this sliver of day.","你算不上学者,也算不上粗人。于这一隙白昼,已然足够。"
dialogue|10|48|Dialogue Text,[Sinombre's light pulses softly.],"[西诺姆布尔的光,柔和地脉动着。]"
dialogue|10|49|Dialogue Text,"The last witch of Lagash! A traitress, a fraud.","拉格什的末代女巫!一个叛徒,一个骗子。"
dialogue|10|4|Dialogue Text,[Back away.],[退后。]
dialogue|10|50|Dialogue Text,Ah... of course. The compulsion of brass.,啊……当然。黄铜的驱使。
dialogue|10|51|Dialogue Text,You are not the first fool to be snared.,你不是第一个被网住的傻瓜。
dialogue|10|52|Dialogue Text,[Wait impassively. Don't rise to the bait.],[无动于衷地等着。不上钩。]
dialogue|10|53|Dialogue Text,"Don't think you understand my motives, Sinombre.","别以为你看得透我的动机,西诺姆布尔。"
dialogue|10|54|Dialogue Text,"I have seen your poor spirit, remember, S.H. You are bent by the sign of the Gate.","我看过你那可怜的魂灵,记得吗,S.H.。你被「门」的印记压弯了。"
dialogue|10|55|Dialogue Text,"So the wisdom of silence's not lost to the world? That will serve you, perhaps, with the Witch.","这么说,沉默的智慧,还没有在世间失传?这或许能帮到你,在那女巫面前。"
dialogue|10|56|Dialogue Text,"I see deeper, petitioner, than any mere flesh. Have a care what you say in this place.","我看得比任何血肉之躯都深,请愿者。在这个地方说话,当心些。"
dialogue|10|57|Dialogue Text,"None of us are ever really free... but I shouldn't need to tell you that, should I, Sinombre?","我们谁都不会真正自由……不过这话,不必由我来说吧,西诺姆布尔?"
dialogue|10|58|Dialogue Text,"Well, Nina has left us, that much you must know. The Director dreams brightly of why. Would you walk in his dreams, then? To learn of her fate? If you offer me what I must have?","唔,尼娜离开了我们,这一点你必定知晓。至于缘由,院长梦得澄亮。那么,你可愿意走进他的梦里?去探知她的命运?只要你给我,我必需之物?"
dialogue|10|59|Dialogue Text,About the dreams of Dr Aubière.,关于奥比埃医生的梦。
dialogue|10|5|Dialogue Text,"Who is hollow of spirit and brazen of heart? Who has come here through iron and salt? I know you and name you, Lieutenant S.H. Now tell me in turn what I am.","谁灵魂空洞,谁心肠厚颜?谁穿过铁与盐,来到这里?我认得你,也唤出你的名字,中尉 S.H.。现在,轮到你来告诉我,我是什么。"
dialogue|10|60|Dialogue Text,[Sinombre's light pulses avidly.],"[西诺姆布尔的光,急切地脉动起来。]"
dialogue|10|61|Dialogue Text,"Use Nyctodromy to brew something that will let me walk in his dreams? That's a good idea, actually.","用夜游术炼制出某种东西,让我得以走进他的梦?这主意,其实不坏。"
dialogue|10|62|Dialogue Text,Hmf. After so many years I should really have learnt not to fritter my insights away.,"哼。这么多年了,我本当学会,不把自己的洞见随手挥霍。"
dialogue|10|63|Dialogue Text,"I can craft Labrikon with an Unworldly skill, enabling entry to Aubière's dream. Or I can still make an arrangement with Sinombre, if I prefer.","我可以用一项超凡技艺炼制拉布里孔,从而进入奥比埃的梦境。或者,倘若我更愿意,仍可与西诺姆布尔谈成一笔交易。"
dialogue|10|64|Dialogue Text,What price would you accept to take me into the doctor's dream?,"要什么代价,你才肯带我进入医生的梦境?"
dialogue|10|65|Dialogue Text,What safeguards would you offer to take me into the doctor's dream?,"带我进入医生的梦境,你能给出什么保障?"
dialogue|10|66|Dialogue Text,"...actually, never mind.","……罢了,当我没说。"
dialogue|10|67|Dialogue Text,All right. I'm ready to discuss an arrangement to enter the doctor's dreams.,"好吧。我准备好谈一笔交易,以进入医生的梦境。"
dialogue|10|68|Dialogue Text,"Oh, banish your fears, I won't feast on your thoughts. I'll offer the oath you prefer.","噢,收起你的恐惧吧,我不会以你的思绪为食。我会立下你中意的誓言。"
dialogue|10|69|Dialogue Text,[Consider safeguards when dealing with a Lantern-long like this.],"[与这样一位灯之长生者打交道,须得思量些保障。]"
dialogue|10|71|Dialogue Text,[Any number of binding oaths suggest themselves. There are ways to be safe.],"[种种约束性的誓言,纷至沓来。总有些法子,可以保自己周全。]"
dialogue|10|72|Dialogue Text,[She could offer safeguards. She could make promises. But could I really be sure?],[她可以给出保障。她可以许下承诺。可我真的能确信吗?]
dialogue|10|73|Dialogue Text,"I am generous; and always, I'm ready to trust. Only give me your word that you'll help. The next time I find myself needful and lost... I'll call on your services then.","我慷慨大方;而且,我向来愿意信任。只要给我一句话,说你愿意相助。下一次,我若困顿无依……我便来请你出力。"
dialogue|10|74|Dialogue Text,Or if you've found for me the customary gift - then that's easier of course for us both.,"又或者,你为我寻来了惯例的献礼——那我们双方,自然都更省事。"
dialogue|10|75|Dialogue Text,I acknowledge your insight... disparage your tact. We'll agree that it is as you say.,"我认下你的洞见……也看不上你的圆滑。我们姑且同意,事情就如你所说。"
dialogue|10|76|Dialogue Text,"Now just let your thoughts wander, just open your eyes. It's so bright, is it not? It's so clear.","现在,只管让你的思绪漫游,只管睁开你的眼睛。多么明亮,不是吗?多么清澈。"
dialogue|10|77|Dialogue Text,[A moment of peace. Perhaps more than a moment.],"[片刻的安宁。或许,不止片刻。]"
dialogue|10|78|Dialogue Text,I have to go.,我得走了。
dialogue|10|79|Dialogue Text,"But you will not forget me, petitioner mine. Sinombre will dwell in your thoughts.","但你不会忘记我的,我的请愿者。西诺姆布尔,将在你的思绪中栖居。"
dialogue|10|7|Dialogue Text,You're a fulgent. A Lantern-long. A bodiless immortal of the Company of Lights...,你是一名辉耀者。灯之长生者。辉光会社中无形的不朽者……
dialogue|10|80|Dialogue Text,Then you'll offer me what? For the dreams that I'll bring?,"那么,你愿意给我什么?换我带来的梦境?"
dialogue|10|81|Dialogue Text,The traditional payment. [Hold up a spintria.],传统的酬谢。[举起一枚斯宾特里亚。]
dialogue|10|82|Dialogue Text,Our agreement still stands?,"我们的约定,依然算数?"
dialogue|10|83|Dialogue Text,"I am ready to guide you, as we have agreed. Place my name on your lips when you sleep.","我已准备好为你引路,如我们所约。入睡之时,把我的名字置于唇间。"
dialogue|10|84|Dialogue Text,Are you a patient here? Or a prisoner?,你是这里的病人?还是囚徒?
dialogue|10|85|Dialogue Text,"I have doctorates from Leiden, Navarre, and Bonn. I'm a colleague of dear Aubière's.",我在莱顿、纳瓦拉和波恩都取得过博士学位。我是亲爱的奥比埃的同事。
dialogue|10|86|Dialogue Text,Sometimes.,有时候。
dialogue|10|87|Dialogue Text,"You have my promise that I'll help you, the next time that you'll need it.","我向你承诺:下次你需要帮助之时,我会相助。"
dialogue|10|88|Dialogue Text,Wait. I'm not ready after all.,等等。我终究还没有准备好。
dialogue|10|89|Dialogue Text,You are teasing me now. I had thought we were friends. But it seems I am nothing to you.,"你这是在戏弄我了。我原以为,我们已是朋友。可看来,我对你什么都不是。"
dialogue|10|8|Dialogue Text,"You're a Mansus-spirit. And not a well one, or you wouldn't choose to be here in the Sanitarium.","你是漫宿之灵。而且是个不健全的,否则你不会选择待在这疗养院里。"
dialogue|10|90|Dialogue Text,"Uninspiring, but Sinombre takes what she must. Place it under my drape and step back.","平平无奇,但西诺姆布尔,取其所必需。把它放在我的幕布之下,然后退开。"
dialogue|10|91|Dialogue Text,"Ah, my sweet petitioner! How welcome you are; for that promise is all that I need.","啊,我甜蜜的请愿者!真是欢迎之至;因为你那句话,正是我所需的一切。"
dialogue|10|92|Dialogue Text,"Ah, the sweetest of Spencers! How welcome you are; for that promise is all that I need.","啊,最甜蜜的斯宾塞!真是欢迎之至;因为你那句话,正是我所需的一切。"
dialogue|10|93|Dialogue Text,"When you sleep, say my name as you wait for the dark. Once, twice, and a third time, no more.","入睡之时,在等待黑暗之际,念我的名字。一遍,两遍,至第三遍,不可再多。"
dialogue|10|94|Dialogue Text,"[When I lift the drape, the light from beneath is enthrallingly bright. But I place the coin and step back before my mind can drift.]","[我掀开幕布,底下溢出的光令人心神俱醉。但在心神游走之前,我放下钱币,退后一步。]"
dialogue|10|95|Dialogue Text,"I swear that I'll guide you; nor draw from your strength; nor enter where I am not bid. On the [[Watchman]] I swear it, the Door in the Eye, on his robe and his [[Names]] and his light.","我发誓,为你引路;不汲取你的力量;不踏入未受邀请之地。以[[守夜人]]起誓,以瞳中之门、以他的衣袍、他的[[名号]]与他的光起誓。"
dialogue|10|96|Dialogue Text,"I look forward to meeting again on the other side of sleep, shining one.","期待与你在睡眠的彼岸重逢,光辉者。"
dialogue|10|97|Dialogue Text,It must be tedious for you being trapped in this scrine. I hope it's a welcome diversion.,"被困在这座圣龛里,想必十分乏味。但愿,这是个受欢迎的消遣。"
dialogue|10|98|Dialogue Text,Don't keep me waiting.,别让我久等。
dialogue|10|9|Dialogue Text,"Perhaps where you're standing, you hybrid of mirk.","或许,在你站着的地方是这样,你这幽暗的杂种。"
dialogue|11|10|Dialogue Text,[Show French passport] Sylvain Huissier.,[出示法国护照] 西尔万·韦西耶。
dialogue|11|11|Dialogue Text,[The big man dangles the passport from one corner between finger and thumb. He inspects it without interest.],"[大汉用拇指和食指捏着护照一角,让它悬着。他毫无兴致地检视它。]"
dialogue|11|12|Dialogue Text,This is not the Republic. Your papers are worthless.,这里不是共和国。你的证件一文不值。
dialogue|11|13|Dialogue Text,This is becoming tiresome. I'm not a man you want to cross. Take me to the Director.,这可越来越让人生厌了。我可不是你想招惹的人。带我去见院长。
dialogue|11|14|Dialogue Text,"Please, monsieur. I'm sorry to be a nuisance, but I really only need a moment of his time. And I don't want to waste any more of yours. [Offer my warmest smile.]","求您了,先生。抱歉打扰您,但我真的只需要他片刻时间。我也不想再浪费您的时间。[献上我最热诚的微笑。]"
dialogue|11|15|Dialogue Text,[The big man folds his arms. He neither moves nor changes expression.],"[大汉抱起双臂。他不动,表情也不变。]"
dialogue|11|16|Dialogue Text,But now she is gone.,但她如今不在了。
dialogue|11|18|Dialogue Text,You strike me as a man who understands the value of his time. Let me put a number to that value. [20 francisques],我看您是懂得自己时间价值的人。让我给这价值标一个数。[20 法兰西斧币]
dialogue|11|19|Dialogue Text,The Director might know. I do not. This is not a library. It is not a bureau of information.,"院长或许知道。我不知道。这里不是图书馆,也不是情报处。"
dialogue|11|20|Dialogue Text,"[The big man softens, just a little. It is after all a golden kind of afternoon.]","[大汉缓和了一些,只有一点点。毕竟这是个金光灿灿的下午。]"
dialogue|11|21|Dialogue Text,Then I'd like to speak to the Director.,那我还是要和院长谈谈。
dialogue|11|22|Dialogue Text,"[I hold the big man's gaze steadily. He gnaws at the inside of his cheek, suddenly uneasy.]","[我稳稳地迎上大汉的目光。他咬起脸颊内侧,忽然有些不安。]"
dialogue|11|23|Dialogue Text,"I will know who you are, and what you're doing here.","我会弄清楚你是谁,以及你在这里做什么。"
dialogue|11|24|Dialogue Text,"[The big man folds the money away with an air of complacent virtue. He is pleased, clearly, that the value of his time has been recognised.]","[大汉带着一副自得的美德气派,把钱收了起来。显然他很满意,自己时间的价值终于得到了承认。]"
dialogue|11|25|Dialogue Text,[The big man scoffs.] 'I am not to be bought.' [He glances around to reassure himself that his virtue has been registered.],"[大汉嗤笑一声。]『我可不是能被收买的。』[他环顾四周,好确认自己的美德已被看在眼里。]"
dialogue|11|26|Dialogue Text,[The night knows there is some small risk in sharing my name. But there may be no other way forward here.],"[夜深知,说出自己的名字有些许风险。但眼下或许没有别的路可走。]"
dialogue|11|27|Dialogue Text,"The Director is in his office. Over there, by the stairs.","院长在他的办公室里。那边,楼梯旁。"
dialogue|11|30|Dialogue Text,Finally.,终于。
dialogue|11|31|Dialogue Text,[Mathis steps back to let me pass.],"[马蒂斯退后一步,让我过去。]"
dialogue|11|32|Dialogue Text,"You have a name that opens doors, Monsieur 'obson.","您有一个能开门道的名字,奥布森先生。"
dialogue|11|33|Dialogue Text,The big man reaches out for the passport.,大汉伸手来拿护照。
dialogue|11|34|Dialogue Text,[Let him take it.],[让他拿去。]
dialogue|11|35|Dialogue Text,[Hold it just out of reach.],[举在他够不着的地方。]
dialogue|11|36|Dialogue Text,"[He scrutinises the passport, eyes crinkling, lips moving slightly. He hands it back to me.]","[他细看护照,眼角皱起,嘴唇微微翕动。他把护照递还给我。]"
dialogue|11|37|Dialogue Text,"[He scowls, but makes no attempt to snatch it. Instead he scrutinises it, eyes crinkling, lips moving slightly.]","[他皱起眉,却并不来夺。他只是细看护照,眼角皱起,嘴唇微微翕动。]"
dialogue|11|38|Dialogue Text,"Regrettably I have none, but I think the Director will want to see me nevertheless.","很遗憾,我没有。但我相信院长仍然会想见我。"
dialogue|11|39|Dialogue Text,Listen to the music warbling from the radio.,听收音机里婉转流出的乐声。
dialogue|11|3|Dialogue Text,I need to speak with the Director.,我要见院长。
dialogue|11|40|Dialogue Text,"A poignant, graceful jazz piece - guitar, violin, double bass? -with a driving rhythm that somehow seems stately - almost like a waltz.","一首凄美优雅的爵士——吉他、小提琴、低音提琴?——节奏强劲,却不知为何透着庄严——几乎像一首华尔兹。"
dialogue|11|41|Dialogue Text,Is that... Reinhardt? Grappelli? I don't know it.,那是……莱因哈特?格拉佩利?我没听过这首。
dialogue|11|44|Dialogue Text,"You know Reinhardt, but you don't know 'Nuages'?","你知道莱因哈特,却不知道《云》?"
dialogue|11|46|Dialogue Text,What was it you wanted?,您想要什么来着?
dialogue|11|47|Dialogue Text,Take time to examine the radio.,花点时间细看这台收音机。
dialogue|11|48|Dialogue Text,"Lambent brass, and black bakelite shiny as a beetle's carapace. A handsome bit of kit. And remarkably portable - less than two feet across. It's branded with a crown, and the words ZENITH TRANS-OCEANIC.","黄铜泛着柔光,黑色电木亮得像甲虫的鞘翅。一件漂亮的机子。而且出奇地便携——宽不到两英尺。上面印着一顶王冠,以及 ZENITH TRANS-OCEANIC 的字样。"
dialogue|11|49|Dialogue Text,"Lambent brass, and black bakelite shiny as a beetle's carapace. A handsome bit of kit. And remarkably portable - less than two feet across.","黄铜泛着柔光,黑色电木亮得像甲虫的鞘翅。一件漂亮的机子。而且出奇地便携——宽不到两英尺。"
dialogue|11|4|Dialogue Text,I'm expected.,有人等着见我。
dialogue|11|51|Dialogue Text,I knew one of the clubs he used to play. Chez Bricktop. I've been away a long time... but you don't forget Reinhardt. This must be new?,"他以前常演的俱乐部,我知道一家——布里克托普之家。我离开太久了……但莱因哈特是忘不掉的。这首一定是新作?"
dialogue|11|52|Dialogue Text,That's what I said. Is it new?,我正想问呢。是新作吗?
dialogue|11|53|Dialogue Text,No. You don't forget Reinhardt.,不。莱因哈特是忘不掉的。
dialogue|11|54|Dialogue Text,"When the [[Enemy]] was in Paris, Reinhardt wrote this. They had little affection for swing, the Enemy. So Reinhardt was careful. So this isn't precisely swing...","[[敌人]]在巴黎时,莱因哈特写了这首。敌人对摇摆乐没什么好感。所以莱因哈特很小心。所以这首并不算是严格的摇摆乐……"
dialogue|11|55|Dialogue Text,The blond man is watching me impatiently.,金发男人正不耐烦地看着我。
dialogue|11|56|Dialogue Text,That's [[Incorporate]] manufacture. An American import. There can't be many of those in France - either the [[State]] or the [[Republic]].,那是[[集团]]的产品。美国进口货。在法国——无论是[[邦国]]还是[[共和国]]——这种东西都不会有多少。
dialogue|11|58|Dialogue Text,A large blond gentleman in orderly's whites blocks the hallway listening to a portable radio. He raises his eyes to regard me without enthusiasm. ,"一位高大的金发先生穿着护理员的白衣,堵在走廊里,听着便携收音机。他抬起眼,不带热忱地打量我。"
dialogue|11|5|Dialogue Text,Lagasse. Of course.,拉加斯。当然。
dialogue|11|61|Dialogue Text,Some sort of jazz? Pretty.,某种爵士?不错。
dialogue|11|65|Dialogue Text,DEBUG: EARLY EXIT,DEBUG: EARLY EXIT
dialogue|11|66|Dialogue Text,"[Mathis blinks slowly in response to my curtness. With insolent deliberation, he steps back to let me pass.]","[马蒂斯对我生硬的回应缓缓眨了眨眼。他带着傲慢的从容,退后一步让我过去。]"
dialogue|11|67|Dialogue Text,[Turn to the radio. Silence it with a pale phrase.],[转向收音机。用一个苍白的短句让它归于寂静。]
dialogue|11|69|Dialogue Text,"[The radio crackles, and fades abruptly to silence. The hall seems chillier. Mathis' eyes widen, and he takes a step back.]","[收音机噼啪作响,骤然淡去,归于寂静。走廊似乎更冷了。马蒂斯睁大眼睛,退了一步。]"
dialogue|11|6|Dialogue Text,Then you must surely have an appointment.,那您想必有预约。
dialogue|11|70|Dialogue Text,"[The radio crackles and begins to fade... but almost immediately recovers. Mathis frowns, puzzled.]","[收音机噼啪作响,开始变弱……但几乎立刻又恢复过来。马蒂斯皱着眉,一脸困惑。]"
dialogue|11|71|Dialogue Text," She makes an impression, Mlle Lagasse.","她给人留下深刻印象,拉加斯小姐。"
dialogue|11|74|Dialogue Text,"The Director awaits, m'sieu.","院长在等您,先生。"
dialogue|11|75|Dialogue Text,"[Bricktop's.... like a lit window across a wide river, that memory.]","[布里克托普之家……那记忆,像宽阔河对岸一扇亮着灯的窗。]"
dialogue|11|76|Dialogue Text,[Onwards.],[继续前行。]
dialogue|11|7|Dialogue Text,I need no appointment. My business is of the highest importance.,我不需要预约。我要办的事至关重要。
dialogue|11|8|Dialogue Text,Tell me your name.,报上你的名字。
dialogue|11|9|Dialogue Text,[Show British passport] My name is Spencer Hobson.,[出示英国护照] 我叫斯宾塞·霍布森。
dialogue|12|100|Dialogue Text,"Good luck, then! You'll find it a lot stranger than the Légion. And the Légion was pretty strange, hey? [He chortles.]","那就祝你好运!你会发现这里比军团怪得多。而军团已经够怪的了,嗯?[他咯咯笑着。]"
dialogue|12|101|Dialogue Text,"On the other side of this curtain... well, you know about that already. I'll stay here.","这道帘子的另一边……嗯,你已经知道了。我就待在这儿。"
dialogue|12|102|Dialogue Text,"On the other side of this curtain... well residents are allowed to talk to each other, so go in there if you're feeling brave.","这道帘子的另一边……嗯,住客之间是允许交谈的,所以你要是胆子够大,就进去吧。"
dialogue|12|103|Dialogue Text,What do you mean?,你什么意思?
dialogue|12|104|Dialogue Text,Sorry. Can't talk about... it. Gives it power. But you'll be fine. It won't hurt another resident.,抱歉。不能说……它。说了会给它力量。不过你会没事的。它不会伤害别的住客。
dialogue|12|105|Dialogue Text,"See you about, <i>chef!</i>","回头见,<i>头儿</i>!"
dialogue|12|106|Dialogue Text,Ask! It gets lonely up here.,问吧!这上头怪冷清的。
dialogue|12|107|Dialogue Text,"Poor old fool. I don't know if he wants to be cured or not. Don't think he can be, course. I've never seen someone stop going [[Cross]].","可怜的老傻瓜。我不知道他到底想不想被治愈。当然,我想他也治不好。我从没见过有人能中止走向介壳种的。"
dialogue|12|108|Dialogue Text,The whole business is making him... surly. No sense of humour.,这整档子事让他变得……乖戾。一点幽默感也没有了。
dialogue|12|109|Dialogue Text,Do you know Rodia?,你认识罗迪娅吗?
dialogue|12|110|Dialogue Text,What do you think of Dr Aubière?,你觉得奥比埃医生怎么样?
dialogue|12|111|Dialogue Text,"He's, ehh... I've known worse. Pay's good, and it's stinking hard to find work since the War, you know? Especially somewhere like this. The sun still shines. The rain doesn't burn. No difficult dead.","他嘛,呃……我见过更差的。薪水不错,而且战后这日子,想找份活儿难得很,你知道吧?尤其是这种地方。阳光照样照耀。雨水不会灼人。也没有难缠的死人。"
dialogue|12|112|Dialogue Text,You mean your employer? And mine? Nothing I'd care to air. [Vincent winks.],你是说你的雇主?也是我的?没什么我想声张的。[文森特挤挤眼。]
dialogue|12|113|Dialogue Text,How do you get on with Mathis?,你跟马蒂斯处得怎么样?
dialogue|12|114|Dialogue Text,Your friend behind the curtain...,帘子后面你的那位朋友……
dialogue|12|115|Dialogue Text,"Not <i>my</i> friend. Listen, <i>chef</i>, I'd rather not talk about it.","不是<i>我的</i>朋友。听着,<i>头儿</i>,我宁愿不谈那事。"
dialogue|12|116|Dialogue Text,"[Vincent leans forward and whispers:] It got into my dreams, last time.","[文森特探过身来,低声说:]上次,它钻进了我的梦里。"
dialogue|12|117|Dialogue Text,Plenty else to talk about.,"别的事多得很,够聊的。"
